author_id,review_count,name,role,profile_url,average_rating,rating_count,text_review_count,record_create_timestamp
19790984,20,Avery North,"",https://www.goodreads.com/author/show/19790984.Avery_North,4.01,142,102,2020-02-19 22:07:45.034513
182609,20,Margot Livesey,"",https://www.goodreads.com/author/show/182609.Margot_Livesey,3.58,21877,3821,2020-02-19 22:07:50.829200
17015,20,P.C. Cast,"",https://www.goodreads.com/author/show/17015.P_C_Cast,3.94,2032243,59120,2020-02-19 22:07:52.635293
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:07:53.558885
6693411,20,Kim Liggett,"",https://www.goodreads.com/author/show/6693411.Kim_Liggett,4.02,14409,3690,2020-02-19 22:07:54.495637
6477494,20,Annabeth Albert,"",https://www.goodreads.com/author/show/6477494.Annabeth_Albert,3.92,55690,10942,2020-02-19 22:07:56.422673
7350402,20,Amy Poehler,"",https://www.goodreads.com/author/show/7350402.Amy_Poehler,3.84,405092,25738,2020-02-19 22:07:57.326257
3041690,20,Graham Moore,"",https://www.goodreads.com/author/show/3041690.Graham_Moore,4.00,39703,5868,2020-02-19 22:07:58.251914
1552866,20,يحيى الطاهر عبد الله,"",https://www.goodreads.com/author/show/1552866._,3.84,1120,188,2020-02-19 22:08:00.126791
671707,20,Joan Kilby,"",https://www.goodreads.com/author/show/671707.Joan_Kilby,3.75,2061,431,2020-02-19 22:08:01.116620
19790984,20,Avery North,"",https://www.goodreads.com/author/show/19790984.Avery_North,4.01,142,102,2020-02-19 22:08:15.535623
182609,20,Margot Livesey,"",https://www.goodreads.com/author/show/182609.Margot_Livesey,3.58,21877,3821,2020-02-19 22:08:21.214407
17015,20,P.C. Cast,"",https://www.goodreads.com/author/show/17015.P_C_Cast,3.94,2032243,59120,2020-02-19 22:08:23.057484
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:08:24.112726
6693411,20,Kim Liggett,"",https://www.goodreads.com/author/show/6693411.Kim_Liggett,4.02,14409,3690,2020-02-19 22:08:24.997073
6477494,20,Annabeth Albert,"",https://www.goodreads.com/author/show/6477494.Annabeth_Albert,3.92,55690,10942,2020-02-19 22:08:26.836913
7350402,20,Amy Poehler,"",https://www.goodreads.com/author/show/7350402.Amy_Poehler,3.84,405092,25738,2020-02-19 22:08:27.742109
3041690,20,Graham Moore,"",https://www.goodreads.com/author/show/3041690.Graham_Moore,4.00,39703,5868,2020-02-19 22:08:28.657619
1552866,20,يحيى الطاهر عبد الله,"",https://www.goodreads.com/author/show/1552866._,3.84,1120,188,2020-02-19 22:08:30.467509
671707,20,Joan Kilby,"",https://www.goodreads.com/author/show/671707.Joan_Kilby,3.75,2061,431,2020-02-19 22:08:31.458287
19790984,20,Avery North,"",https://www.goodreads.com/author/show/19790984.Avery_North,4.01,142,102,2020-02-19 22:08:45.954539
182609,20,Margot Livesey,"",https://www.goodreads.com/author/show/182609.Margot_Livesey,3.58,21877,3821,2020-02-19 22:08:51.602349
17015,20,P.C. Cast,"",https://www.goodreads.com/author/show/17015.P_C_Cast,3.94,2032243,59120,2020-02-19 22:08:53.422574
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:08:54.362069
6693411,20,Kim Liggett,"",https://www.goodreads.com/author/show/6693411.Kim_Liggett,4.02,14409,3690,2020-02-19 22:08:55.308387
6477494,20,Annabeth Albert,"",https://www.goodreads.com/author/show/6477494.Annabeth_Albert,3.92,55690,10942,2020-02-19 22:08:57.163548
7350402,20,Amy Poehler,"",https://www.goodreads.com/author/show/7350402.Amy_Poehler,3.84,405092,25738,2020-02-19 22:08:58.067904
3041690,20,Graham Moore,"",https://www.goodreads.com/author/show/3041690.Graham_Moore,4.00,39703,5868,2020-02-19 22:08:58.985525
1552866,20,يحيى الطاهر عبد الله,"",https://www.goodreads.com/author/show/1552866._,3.84,1120,188,2020-02-19 22:09:00.799461
671707,20,Joan Kilby,"",https://www.goodreads.com/author/show/671707.Joan_Kilby,3.75,2061,431,2020-02-19 22:09:02.266057
19790984,20,Avery North,"",https://www.goodreads.com/author/show/19790984.Avery_North,4.01,142,102,2020-02-19 22:09:16.627565
182609,20,Margot Livesey,"",https://www.goodreads.com/author/show/182609.Margot_Livesey,3.58,21877,3821,2020-02-19 22:09:22.199790
17015,20,P.C. Cast,"",https://www.goodreads.com/author/show/17015.P_C_Cast,3.94,2032243,59120,2020-02-19 22:09:24.019611
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:09:24.993228
6693411,20,Kim Liggett,"",https://www.goodreads.com/author/show/6693411.Kim_Liggett,4.02,14409,3690,2020-02-19 22:09:25.946175
6477494,20,Annabeth Albert,"",https://www.goodreads.com/author/show/6477494.Annabeth_Albert,3.92,55690,10942,2020-02-19 22:09:27.786993
7350402,20,Amy Poehler,"",https://www.goodreads.com/author/show/7350402.Amy_Poehler,3.84,405092,25738,2020-02-19 22:09:28.764149
3041690,20,Graham Moore,"",https://www.goodreads.com/author/show/3041690.Graham_Moore,4.00,39703,5868,2020-02-19 22:09:29.686130
1552866,20,يحيى الطاهر عبد الله,"",https://www.goodreads.com/author/show/1552866._,3.84,1120,188,2020-02-19 22:09:31.529637
671707,20,Joan Kilby,"",https://www.goodreads.com/author/show/671707.Joan_Kilby,3.75,2061,431,2020-02-19 22:09:32.471134
19790984,20,Avery North,"",https://www.goodreads.com/author/show/19790984.Avery_North,4.01,142,102,2020-02-19 22:09:46.955479
182609,20,Margot Livesey,"",https://www.goodreads.com/author/show/182609.Margot_Livesey,3.58,21877,3821,2020-02-19 22:09:52.554360
17015,20,P.C. Cast,"",https://www.goodreads.com/author/show/17015.P_C_Cast,3.94,2032243,59120,2020-02-19 22:09:54.379499
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:09:55.348707
6693411,20,Kim Liggett,"",https://www.goodreads.com/author/show/6693411.Kim_Liggett,4.02,14409,3690,2020-02-19 22:09:56.268122
6477494,20,Annabeth Albert,"",https://www.goodreads.com/author/show/6477494.Annabeth_Albert,3.92,55690,10942,2020-02-19 22:09:58.204241
7350402,20,Amy Poehler,"",https://www.goodreads.com/author/show/7350402.Amy_Poehler,3.84,405092,25738,2020-02-19 22:09:59.191211
3041690,20,Graham Moore,"",https://www.goodreads.com/author/show/3041690.Graham_Moore,4.00,39703,5868,2020-02-19 22:10:00.118284
1552866,20,يحيى الطاهر عبد الله,"",https://www.goodreads.com/author/show/1552866._,3.84,1120,188,2020-02-19 22:10:02.018535
671707,20,Joan Kilby,"",https://www.goodreads.com/author/show/671707.Joan_Kilby,3.75,2061,431,2020-02-19 22:10:02.990791
19790984,20,Avery North,"",https://www.goodreads.com/author/show/19790984.Avery_North,4.01,142,102,2020-02-19 22:10:17.446479
182609,20,Margot Livesey,"",https://www.goodreads.com/author/show/182609.Margot_Livesey,3.58,21877,3821,2020-02-19 22:10:23.059427
17015,20,P.C. Cast,"",https://www.goodreads.com/author/show/17015.P_C_Cast,3.94,2032243,59120,2020-02-19 22:10:24.841923
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:10:25.828543
6693411,20,Kim Liggett,"",https://www.goodreads.com/author/show/6693411.Kim_Liggett,4.02,14409,3690,2020-02-19 22:10:26.747821
6477494,20,Annabeth Albert,"",https://www.goodreads.com/author/show/6477494.Annabeth_Albert,3.92,55690,10942,2020-02-19 22:10:28.665334
7350402,20,Amy Poehler,"",https://www.goodreads.com/author/show/7350402.Amy_Poehler,3.84,405092,25738,2020-02-19 22:10:29.627302
3041690,20,Graham Moore,"",https://www.goodreads.com/author/show/3041690.Graham_Moore,4.00,39703,5868,2020-02-19 22:10:30.520175
1552866,20,يحيى الطاهر عبد الله,"",https://www.goodreads.com/author/show/1552866._,3.84,1120,188,2020-02-19 22:10:32.418221
671707,20,Joan Kilby,"",https://www.goodreads.com/author/show/671707.Joan_Kilby,3.75,2061,431,2020-02-19 22:10:33.389217
19790984,20,Avery North,"",https://www.goodreads.com/author/show/19790984.Avery_North,4.01,142,102,2020-02-19 22:10:47.717270
182609,20,Margot Livesey,"",https://www.goodreads.com/author/show/182609.Margot_Livesey,3.58,21877,3821,2020-02-19 22:10:53.544156
17015,20,P.C. Cast,"",https://www.goodreads.com/author/show/17015.P_C_Cast,3.94,2032243,59120,2020-02-19 22:10:55.332028
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:10:56.255584
6693411,20,Kim Liggett,"",https://www.goodreads.com/author/show/6693411.Kim_Liggett,4.02,14409,3690,2020-02-19 22:10:57.203074
6477494,20,Annabeth Albert,"",https://www.goodreads.com/author/show/6477494.Annabeth_Albert,3.92,55690,10942,2020-02-19 22:10:59.084303
7350402,20,Amy Poehler,"",https://www.goodreads.com/author/show/7350402.Amy_Poehler,3.84,405092,25738,2020-02-19 22:11:00.025348
3041690,20,Graham Moore,"",https://www.goodreads.com/author/show/3041690.Graham_Moore,4.00,39703,5868,2020-02-19 22:11:00.907447
1552866,20,يحيى الطاهر عبد الله,"",https://www.goodreads.com/author/show/1552866._,3.84,1120,188,2020-02-19 22:11:02.746829
671707,20,Joan Kilby,"",https://www.goodreads.com/author/show/671707.Joan_Kilby,3.75,2061,431,2020-02-19 22:11:03.714444
19790984,20,Avery North,"",https://www.goodreads.com/author/show/19790984.Avery_North,4.01,142,102,2020-02-19 22:11:18.234793
182609,20,Margot Livesey,"",https://www.goodreads.com/author/show/182609.Margot_Livesey,3.58,21877,3821,2020-02-19 22:11:24.253805
17015,20,P.C. Cast,"",https://www.goodreads.com/author/show/17015.P_C_Cast,3.94,2032243,59120,2020-02-19 22:11:26.101403
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:11:27.076642
6693411,20,Kim Liggett,"",https://www.goodreads.com/author/show/6693411.Kim_Liggett,4.02,14409,3690,2020-02-19 22:11:28.011135
6477494,20,Annabeth Albert,"",https://www.goodreads.com/author/show/6477494.Annabeth_Albert,3.92,55690,10942,2020-02-19 22:11:29.846347
